Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,PSI-90 Performance Rate,PSI-90 Achievement Points,PSI-90 Improvement Points,PSI-90 Measure Score,HAI-1_Performance_Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score
"510072","WETZEL COUNTY HOSPITAL","#3 EAST BENJAMIN DRIVE","New Martinsville","WV","26155","WETZEL","0.859478","Not Available","Not Available","Not Available","0.875600","0 out of 10","Not Available","0 out of 10","0.897273","7 out of 10","7 out of 9","7 out of 10","0.470923","8 out of 10","8 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"510082","SUMMERSVILLE REGIONAL MEDICAL CENTER","400 FAIRVIEW HEIGHTS ROAD","Summersville","WV","26651","NICHOLAS","0.855916","Not Available","Not Available","Not Available","0.879576","0 out of 10","Not Available","0 out of 10","0.867672","0 out of 10","0 out of 9","0 out of 10","0.588126","2 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"510086","WELCH COMMUNITY HOSPITAL","454 MCDOWELL STREET","Welch","WV","24801","MCDOWELL","0.860035","Not Available","Not Available","Not Available","0.882681","Not Available","Not Available","Not Available","0.893685","5 out of 10","Not Available","5 out of 10","0.535329","5 out of 10","4 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520002","MINISTRY ST MICHAELS HOSPITAL OF STEVENS POINT","900 ILLINOIS AVE","Stevens Point","WI","54481","PORTAGE","0.858872","Not Available","Not Available","Not Available","0.890909","5 out of 10","5 out of 9","5 out of 10","0.910467","10 out of 10","9 out of 9","10 out of 10","0.479333","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","9 out of 9","10 out of 10","0 out of 10","2.195","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520004","MAYO CLINIC HLTH SYSTEM  FRANCISCAN MED CTR","700 WEST AVENUE SOUTH","La Crosse","WI","54601","LA CROSSE","0.858606","7 out of 10","7 out of 9","7 out of 10","0.884169","2 out of 10","6 out of 9","6 out of 10","0.875364","0 out of 10","0 out of 9","0 out of 10","0.453121","9 out of 10","0 out of 9","9 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","6 out of 10","0.997","0 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"520008","WAUKESHA MEMORIAL HOSPITAL","725 AMERICAN AVE","Waukesha","WI","53188","WAUKESHA","0.860328","8 out of 10","9 out of 9","9 out of 10","0.877174","0 out of 10","0 out of 9","0 out of 10","0.872394","0 out of 10","0 out of 9","0 out of 10","0.625470","0 out of 10","6 out of 9","6 out of 10","0.252","5 out of 10","3 out of 9","5 out of 10","2.382","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.292","0 out of 10","0 out of 9","0 out of 10","3.331","0 out of 10","0 out of 9","0 out of 10"
"520009","ST ELIZABETH HOSPITAL","1506 S ONEIDA ST","Appleton","WI","54915","OUTAGAMIE","0.857502","7 out of 10","8 out of 9","8 out of 10","0.892419","6 out of 10","6 out of 9","6 out of 10","0.888173","3 out of 10","6 out of 9","6 out of 10","0.367227","10 out of 10","9 out of 9","10 out of 10","0.368","2 out of 10","7 out of 9","7 out of 10","1.217","0 out of 10","3 out of 9","3 out of 10","0 out of 10","0.918","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520011","LAKEVIEW MEDICAL CENTER","1700 WEST STOUT STREET","Rice Lake","WI","54868","BARRON","0.866847","Not Available","Not Available","Not Available","0.886082","3 out of 10","0 out of 9","3 out of 10","0.887758","3 out of 10","2 out of 9","3 out of 10","0.475646","8 out of 10","7 out of 9","8 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520013","SACRED HEART HOSPITAL","900 W CLAIREMONT AVE","Eau Claire","WI","54701","EAU CLAIRE","0.874141","10 out of 10","9 out of 9","10 out of 10","0.872256","0 out of 10","0 out of 9","0 out of 10","0.881549","0 out of 10","0 out of 9","0 out of 10","0.647484","0 out of 10","3 out of 9","3 out of 10","0.214","5 out of 10","0 out of 9","5 out of 10","0.440","5 out of 10","1 out of 9","5 out of 10","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520017","ST JOSEPHS HOSPITAL","2661 COUNTY HWY I","Chippewa Falls","WI","54729","CHIPPEWA","0.850183","Not Available","Not Available","Not Available","0.882517","1 out of 10","Not Available","1 out of 10","0.897913","7 out of 10","6 out of 9","7 out of 10","0.540309","5 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520019","MINISTRY SAINT MARYS HOSPITAL","2251 NORTH SHORE DR","Rhinelander","WI","54501","ONEIDA","0.872149","10 out of 10","Not Available","10 out of 10","0.869517","0 out of 10","0 out of 9","0 out of 10","0.891473","4 out of 10","4 out of 9","4 out of 10","0.601049","1 out of 10","0 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","2 out of 10","0.618","1 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"520021","UNITED HOSPITAL SYSTEM","6308 EIGHTH AVE","Kenosha","WI","53143","KENOSHA","0.850228","2 out of 10","3 out of 9","3 out of 10","0.890006","5 out of 10","6 out of 9","6 out of 10","0.887639","3 out of 10","6 out of 9","6 out of 10","0.379015","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","6 out of 10","0.273","6 out of 10","0 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"520027","COLUMBIA ST MARYS HOSPITAL OZAUKEE","13111 N PORT WASHINGTON RD","Mequon","WI","53097","OZAUKEE","0.877277","10 out of 10","9 out of 9","10 out of 10","0.870025","0 out of 10","3 out of 9","3 out of 10","0.890960","4 out of 10","7 out of 9","7 out of 10","0.549921","4 out of 10","6 out of 9","6 out of 10","0.584","0 out of 10","4 out of 9","4 out of 10","1.536","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"520028","THE MONROE CLINIC","2005 5TH STREET","Monroe","WI","53566","GREEN","0.864265","10 out of 10","Not Available","10 out of 10","0.884643","2 out of 10","1 out of 9","2 out of 10","0.900436","8 out of 10","8 out of 9","8 out of 10","0.490526","7 out of 10","7 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","9 out of 9","10 out of 10","3 out of 10","0.451","3 out of 10","0 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"520030","ASPIRUS WAUSAU HOSPITAL","333 PINE RIDGE BLVD","Wausau","WI","54401","MARATHON","0.866827","10 out of 10","9 out of 9","10 out of 10","0.874765","0 out of 10","4 out of 9","4 out of 10","0.883439","1 out of 10","0 out of 9","1 out of 10","0.624576","0 out of 10","0 out of 9","0 out of 10","0.176","6 out of 10","5 out of 9","6 out of 10","2.368","0 out of 10","0 out of 9","0 out of 10","3 out of 10","1.304","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10"
"520033","ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC","410 DEWEY ST","Wisconsin Rapids","WI","54495","WOOD","0.851984","Not Available","Not Available","Not Available","0.858299","0 out of 10","0 out of 9","0 out of 10","0.868693","0 out of 10","Not Available","0 out of 10","0.450188","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520034","AURORA MEDICAL CTR MANITOWOC COUNTY","5000 MEMORIAL DRIVE","Two Rivers","WI","54241","MANITOWOC","0.867886","Not Available","Not Available","Not Available","0.869544","0 out of 10","0 out of 9","0 out of 10","0.890400","4 out of 10","1 out of 9","4 out of 10","0.409255","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520035","AURORA SHEBOYGAN MEMORIAL MEDICAL CTR","2629 N 7TH ST","Sheboygan","WI","53083","SHEBOYGAN","0.854445","5 out of 10","Not Available","5 out of 10","0.876409","0 out of 10","0 out of 9","0 out of 10","0.886509","2 out of 10","4 out of 9","4 out of 10","0.502898","7 out of 10","6 out of 9","7 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","6 out of 10","0.535","2 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available"
"520037","MINISTRY SAINT JOSEPHS HOSPITAL","611 ST JOSEPH AVE","Marshfield","WI","54449","WOOD","0.850772","2 out of 10","0 out of 9","2 out of 10","0.869516","0 out of 10","0 out of 9","0 out of 10","0.877051","0 out of 10","3 out of 9","3 out of 10","0.910295","0 out of 10","0 out of 9","0 out of 10","0.409","2 out of 10","0 out of 9","2 out of 10","1.293","0 out of 10","0 out of 9","0 out of 10","3 out of 10","0.909","0 out of 10","4 out of 9","4 out of 10","1.402","0 out of 10","0 out of 9","0 out of 10"
"520038","AURORA MEDICAL CTR WASHINGTON COUNTY","1032 E SUMNER ST","Hartford","WI","53027","WASHINGTON","0.852826","Not Available","Not Available","Not Available","0.891318","5 out of 10","6 out of 9","6 out of 10","0.891219","4 out of 10","5 out of 9","5 out of 10","0.430786","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520041","DIVINE SAVIOR HEALTHCARE","2817 NEW PINERY ROAD","Portage","WI","53901","COLUMBIA","0.860319","Not Available","Not Available","Not Available","0.873236","0 out of 10","1 out of 9","1 out of 10","0.894539","5 out of 10","7 out of 9","7 out of 10","0.738685","0 out of 10","1 out of 9","1 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520044","ST NICHOLAS HOSPITAL","3100 SUPERIOR AVE","Sheboygan","WI","53081","SHEBOYGAN","0.856394","Not Available","Not Available","Not Available","0.852940","0 out of 10","0 out of 9","0 out of 10","0.881555","0 out of 10","0 out of 9","0 out of 10","0.628012","0 out of 10","2 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520045","THEDACARE REGIONAL MEDICAL CENTER - NEENAH INC","130 2ND ST","Neenah","WI","54956","WINNEBAGO","0.856271","6 out of 10","Not Available","6 out of 10","0.875842","0 out of 10","4 out of 9","4 out of 10","0.864172","0 out of 10","0 out of 9","0 out of 10","0.408540","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10","0.591","3 out of 10","0 out of 9","3 out of 10","0 out of 10","1.069","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520048","MERCY MEDICAL CENTER OF OSHKOSH","500 S OAKWOOD RD","Oshkosh","WI","54904","WINNEBAGO","0.874782","10 out of 10","Not Available","10 out of 10","0.892978","6 out of 10","6 out of 9","6 out of 10","0.886809","2 out of 10","3 out of 9","3 out of 10","0.576714","3 out of 10","0 out of 9","3 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.739","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0.857","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520049","BELLIN MEMORIAL HOSPITAL","744 S WEBSTER AVE","Green Bay","WI","54305","BROWN","0.888992","10 out of 10","9 out of 9","10 out of 10","0.869028","0 out of 10","0 out of 9","0 out of 10","0.878809","0 out of 10","0 out of 9","0 out of 10","0.363574","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","5 out of 10","1.037","0 out of 10","3 out of 9","3 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"520051","COLUMBIA ST MARYS HOSPITAL MILWAUKEE","2323 N LAKE DR","Milwaukee","WI","53211","MILWAUKEE","0.864276","10 out of 10","9 out of 9","10 out of 10","0.878657","0 out of 10","5 out of 9","5 out of 10","0.898340","7 out of 10","7 out of 9","7 out of 10","0.643604","0 out of 10","0 out of 9","0 out of 10","0.233","5 out of 10","1 out of 9","5 out of 10","0.471","4 out of 10","0 out of 9","4 out of 10","8 out of 10","0.347","5 out of 10","7 out of 9","7 out of 10","0.000","10 out of 10","0 out of 9","10 out of 10"
"520057","ST CLARE HOSPITAL","707 14TH ST","Baraboo","WI","53913","SAUK","0.866087","Not Available","Not Available","Not Available","0.887829","4 out of 10","4 out of 9","4 out of 10","0.892719","5 out of 10","6 out of 9","6 out of 10","0.375994","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520059","AURORA MEMORIAL HOSPITAL BURLINGTON","252 MCHENRY ST","Burlington","WI","53105","RACINE","0.864532","10 out of 10","Not Available","10 out of 10","0.889753","4 out of 10","5 out of 9","5 out of 10","0.868546","0 out of 10","0 out of 9","0 out of 10","0.280329","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.760","1 out of 10","0 out of 9","1 out of 10","0 out of 10","0.878","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520062","OCONOMOWOC MEMORIAL HOSPITAL","791 E SUMMIT AVE","Oconomowoc","WI","53066","WAUKESHA","0.869885","10 out of 10","Not Available","10 out of 10","0.876810","0 out of 10","0 out of 9","0 out of 10","0.886491","2 out of 10","3 out of 9","3 out of 10","0.443238","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","1.955","0 out of 10","Not Available","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520063","ST JOSEPHS COMMUNITY HOSPITAL OF WEST BEND","3200 PLEASANT VALLEY ROAD","West Bend","WI","53005","WASHINGTON","0.864499","Not Available","Not Available","Not Available","0.875168","0 out of 10","0 out of 9","0 out of 10","0.905156","10 out of 10","9 out of 9","10 out of 10","0.748182","0 out of 10","0 out of 9","0 out of 10","0.744","0 out of 10","0 out of 9","0 out of 10","0.792","1 out of 10","0 out of 9","1 out of 10","3 out of 10","1.452","0 out of 10","3 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available"
"520066","MERCY HEALTH SYSTEM CORP","1000 MINERAL POINT AVE","Janesville","WI","53547","ROCK","0.855995","6 out of 10","7 out of 9","7 out of 10","0.874020","0 out of 10","2 out of 9","2 out of 10","0.894458","5 out of 10","4 out of 9","5 out of 10","0.353755","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","2 out of 10","0.820","0 out of 10","0 out of 9","0 out of 10","0.000","10 out of 10","Not Available","10 out of 10"
"520070","MAYO CLINIC HEALTH SYSTEM EAU CLAIRE HOSPITAL","1221 WHIPPLE ST","Eau Claire","WI","54703","EAU CLAIRE","0.887431","10 out of 10","9 out of 9","10 out of 10","0.892392","6 out of 10","2 out of 9","6 out of 10","0.890107","4 out of 10","4 out of 9","4 out of 10","0.665149","0 out of 10","0 out of 9","0 out of 10","0.248","5 out of 10","3 out of 9","5 out of 10","1.935","0 out of 10","3 out of 9","3 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520071","FORT MEMORIAL HOSPITAL","611 SHERMAN AVE E","Fort Atkinson","WI","53538","JEFFERSON","0.852100","Not Available","Not Available","Not Available","0.881118","0 out of 10","4 out of 9","4 out of 10","0.887453","3 out of 10","5 out of 9","5 out of 10","0.522748","6 out of 10","5 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","1.582","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520075","ST VINCENT HOSPITAL","835 S VAN BUREN ST","Green Bay","WI","54301","BROWN","0.851637","3 out of 10","1 out of 9","3 out of 10","0.864279","0 out of 10","0 out of 9","0 out of 10","0.888667","3 out of 10","0 out of 9","3 out of 10","0.509666","6 out of 10","7 out of 9","7 out of 10","0.282","4 out of 10","7 out of 9","7 out of 10","1.328","0 out of 10","0 out of 9","0 out of 10","1 out of 10","1.022","0 out of 10","0 out of 9","0 out of 10","0.630","2 out of 10","3 out of 9","3 out of 10"
"520076","BEAVER DAM COMMUNITY HOSPITAL","707 S UNIVERSITY AVE","Beaver Dam","WI","53916","DODGE","0.845717","Not Available","Not Available","Not Available","0.888860","4 out of 10","0 out of 9","4 out of 10","0.884238","1 out of 10","2 out of 9","2 out of 10","0.518049","6 out of 10","0 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520078","WHEATON FRANCISCAN HEALTHCARE ST FRANCIS","3237 S 16TH ST","Milwaukee","WI","53215","MILWAUKEE","0.870032","10 out of 10","9 out of 9","10 out of 10","0.891909","5 out of 10","0 out of 9","5 out of 10","0.903573","9 out of 10","6 out of 9","9 out of 10","0.627872","0 out of 10","0 out of 9","0 out of 10","0.627","0 out of 10","0 out of 9","0 out of 10","1.564","0 out of 10","0 out of 9","0 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520083","ST MARYS HOSPITAL","700 SOUTH PARK ST","Madison","WI","53715","DANE","0.864161","10 out of 10","9 out of 9","10 out of 10","0.890053","5 out of 10","0 out of 9","5 out of 10","0.894586","5 out of 10","0 out of 9","5 out of 10","0.347734","10 out of 10","9 out of 9","10 out of 10","1.080","0 out of 10","0 out of 9","0 out of 10","0.655","2 out of 10","0 out of 9","2 out of 10","0 out of 10","1.854","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520087","GUNDERSEN LUTHERAN MEDICAL CENTER","1910 SOUTH AVE","La Crosse","WI","54601","LA CROSSE","0.861355","9 out of 10","8 out of 9","9 out of 10","0.877834","0 out of 10","3 out of 9","3 out of 10","0.890312","4 out of 10","5 out of 9","5 out of 10","0.412346","10 out of 10","9 out of 9","10 out of 10","0.370","2 out of 10","0 out of 9","2 out of 10","1.147","0 out of 10","1 out of 9","1 out of 10","0 out of 10","2.603","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520088","ST AGNES HOSPITAL","430 E DIVISON ST","Fond Du Lac","WI","54935","FOND DU LAC","0.856030","6 out of 10","7 out of 9","7 out of 10","0.889962","5 out of 10","7 out of 9","7 out of 10","0.884706","1 out of 10","1 out of 9","1 out of 10","0.582900","2 out of 10","2 out of 9","2 out of 10","0.269","4 out of 10","7 out of 9","7 out of 10","0.282","6 out of 10","0 out of 9","6 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520089","UNITYPOINT HEALTH - MERITER","202 S PARK ST","Madison","WI","53715","DANE","0.889012","10 out of 10","9 out of 9","10 out of 10","0.880828","0 out of 10","5 out of 9","5 out of 10","0.908496","10 out of 10","9 out of 9","10 out of 10","0.399067","10 out of 10","9 out of 9","10 out of 10","0.290","4 out of 10","5 out of 9","5 out of 10","1.539","0 out of 10","0 out of 9","0 out of 10","2 out of 10","1.753","0 out of 10","0 out of 9","0 out of 10","0.716","1 out of 10","4 out of 9","4 out of 10"
"520091","HOWARD YOUNG MEDICAL CTR","240 MAPLE ST","Woodruff","WI","54568","ONEIDA","0.860561","Not Available","Not Available","Not Available","0.881008","0 out of 10","0 out of 9","0 out of 10","0.896100","6 out of 10","6 out of 9","6 out of 10","0.329553","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","0 out of 10","0.753","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520095","SAUK PRAIRIE HOSPITAL","260 26TH STREET","Prairie Du Sac","WI","53578","SAUK","0.862188","Not Available","Not Available","Not Available","0.890454","Not Available","Not Available","Not Available","0.893552","5 out of 10","Not Available","5 out of 10","0.462162","9 out of 10","8 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520096","WHEATON FRANCISCAN HEALTHCARE ALL SAINTS","3801 SPRING ST","Racine","WI","53405","RACINE","0.861642","9 out of 10","9 out of 9","9 out of 10","0.880812","0 out of 10","0 out of 9","0 out of 10","0.884317","1 out of 10","5 out of 9","5 out of 10","0.482232","8 out of 10","7 out of 9","8 out of 10","0.287","4 out of 10","7 out of 9","7 out of 10","2.172","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.899","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520097","ST MARYS HOSPITAL MEDICAL CTR","1726 SHAWANO AVE","Green Bay","WI","54303","BROWN","0.864990","10 out of 10","Not Available","10 out of 10","0.861663","0 out of 10","0 out of 9","0 out of 10","0.891823","4 out of 10","Not Available","4 out of 10","0.526593","5 out of 10","0 out of 9","5 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","2 out of 10","0.527","2 out of 10","0 out of 9","2 out of 10","Not Available","Not Available","Not Available","Not Available"
"520098","UNIVERSITY OF WI  HOSPITALS & CLINICS AUTHORITY","600 HIGHLAND AVENUE","Madison","WI","53792","DANE","0.865796","10 out of 10","9 out of 9","10 out of 10","0.881701","1 out of 10","3 out of 9","3 out of 10","0.895460","6 out of 10","5 out of 9","6 out of 10","0.384561","10 out of 10","9 out of 9","10 out of 10","0.449","1 out of 10","2 out of 9","2 out of 10","1.594","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.163","0 out of 10","0 out of 9","0 out of 10","2.289","0 out of 10","2 out of 9","2 out of 10"
"520102","AURORA LAKELAND MEDICAL CENTER","W3985 COUNTY ROAD NN","Elkhorn","WI","53121","WALWORTH","0.862557","Not Available","Not Available","Not Available","0.873254","0 out of 10","0 out of 9","0 out of 10","0.881002","0 out of 10","1 out of 9","1 out of 10","0.459626","9 out of 10","9 out of 9","9 out of 10","Not Available","Not Available","Not Available","Not Available","0.878","0 out of 10","0 out of 9","0 out of 10","0 out of 10","1.442","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520103","COMMUNITY MEMORIAL HOSPITAL","W180 N8085 TOWN HALL RD","Menomonee Falls","WI","53051","WAUKESHA","0.843485","0 out of 10","5 out of 9","5 out of 10","0.858742","0 out of 10","0 out of 9","0 out of 10","0.877986","0 out of 10","2 out of 9","2 out of 10","0.424645","10 out of 10","9 out of 9","10 out of 10","1.246","0 out of 10","0 out of 9","0 out of 10","2.277","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.975","0 out of 10","0 out of 9","0 out of 10","Not Available","Not Available","Not Available","Not Available"
"520107","HOLY FAMILY MEMORIAL","2300 WESTERN AVE","Manitowoc","WI","54221","MANITOWOC","0.850245","2 out of 10","Not Available","2 out of 10","0.890382","5 out of 10","2 out of 9","5 out of 10","0.891328","4 out of 10","4 out of 9","4 out of 10","0.641708","0 out of 10","3 out of 9","3 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","10 out of 10","0.000","10 out of 10","Not Available","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520109","MILE BLUFF MEDICAL CENTER","1050 DIVISION ST","Mauston","WI","53948","JUNEAU","0.860519","Not Available","Not Available","Not Available","0.874581","0 out of 10","Not Available","0 out of 10","0.893688","5 out of 10","5 out of 9","5 out of 10","0.577851","3 out of 10","6 out of 9","6 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520113","BAY AREA MEDICAL CENTER","3100 SHORE DRIVE","Marinette","WI","54143","MARINETTE","0.876231","10 out of 10","9 out of 9","10 out of 10","0.885279","2 out of 10","0 out of 9","2 out of 10","0.882696","1 out of 10","0 out of 9","1 out of 10","0.375927","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","0.000","10 out of 10","9 out of 9","10 out of 10","10 out of 10","0.000","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available"
"520116","WATERTOWN REGIONAL MEDICAL CENTER","125 HOSPITAL DRIVE","Watertown","WI","53098","DODGE","0.856308","Not Available","Not Available","Not Available","0.881219","0 out of 10","3 out of 9","3 out of 10","0.860755","0 out of 10","0 out of 9","0 out of 10","0.409079","10 out of 10","9 out of 9","10 out of 10","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"520136","WHEATON FRANCISCAN ST JOSEPH","5000 W CHAMBERS ST","Milwaukee","WI","53210","MILWAUKEE","0.841492","0 out of 10","0 out of 9","0 out of 10","0.888440","4 out of 10","0 out of 9","4 out of 10","0.885864","2 out of 10","4 out of 9","4 out of 10","0.791355","0 out of 10","0 out of 9","0 out of 10","0.162","6 out of 10","7 out of 9","7 out of 10","0.950","0 out of 10","0 out of 9","0 out of 10","0 out of 10","0.780","0 out of 10","0 out of 9","0 out of 10","1.363","0 out of 10","0 out of 9","0 out of 10"
